County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Essex,Plant,Flowering Plants,Sedges,Carex arcta,Northern Clustered Sedge,1917,Endangered,not listed,S1,G5,Historically Confirmed
Essex,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Lactuca hirsuta,Downy Lettuce,1989,Endangered,not listed,S1,G5?,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex atratiformis,Scabrous Black Sedge,1981,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex buxbaumii,Brown Bog Sedge,not available,Threatened,not listed,S2,G5,Historically Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Vaccinium cespitosum,Dwarf Bilberry,2013,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Hedeoma hispida,Rough Pennyroyal,1990,Threatened,not listed,S2S3,G5,Recently Confirmed
Essex,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Erigeron hyssopifolius,Daisy Fleabane,1990,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex capillaris,Hair-like Sedge,1990,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex cumulata,Clustered Sedge,1941,Threatened,not listed,S2S3,G4?,Historically Confirmed
Essex,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Cirsium altissimum,Tall Thistle,1927,not listed,not listed,SX,G5,Extirpated
Essex,Plant,Flowering Plants,Orchids,Neottia convallarioides,Broad-lipped Twayblade,1980,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Alisma gramineum,Grass-leaved Water Plantain,1995,Threatened,not listed,S3S4,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Geocaulon lividum,False Toadflax,2007,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex formosa,Handsome Sedge,1995,Threatened,not listed,S2,G4,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Diapensia lapponica,Diapensia,2013,Threatened,not listed,S2,G3G5,Recently Confirmed
Essex,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Solidago leiocarpa,Alpine Goldenrod,2016,Threatened,not listed,S2,G4,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Scheuchzeria palustris,Pod Grass,2003,Rare,not listed,S3,G5,Recently Confirmed
Essex,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Solidago randii,Rand's Goldenrod,2009,Threatened,not listed,S2,G5T4,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Salix pyrifolia,Balsam Willow,2003,Rare,not listed,S3,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Salix herbacea,Dwarf Willow,2002,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Grasses,Anthoxanthum monticola ssp. monticola,Alpine Sweetgrass,2016,Endangered,not listed,S2,G5T3T5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Trichophorum cespitosum ssp. cespitosum,Deer's Hair Sedge,2016,Threatened,not listed,S2,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Rosa acicularis ssp. sayi,Prickly Rose,1987,Endangered,not listed,S1,G5T5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Rhododendron canadense,Rhodora,1988,Threatened,not listed,S2,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Eleocharis robbinsii,Robbins Spike Rush,not available,Rare,not listed,S3,G4G5,Historically Confirmed
Essex,Plant,Flowering Plants,Sedges,Cyperus subsquarrosus,Dwarf Bulrush,1995,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Potamogeton hillii,Hill's Pondweed,1995,Threatened,not listed,S2,G3,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Thalictrum venulosum,Veiny Meadow Rue,1995,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Halenia deflexa ssp. deflexa,Spurred Gentian,1990,Endangered,not listed,S1,G5T5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Kalmia procumbens,Alpine Azalea,2013,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. pubescens,Large Yellow Lady's Slipper,not available,not listed,not listed,S3,G5T5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex lupuliformis,False Hop Sedge,2011,Threatened,not listed,S2,G4,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex merritt-fernaldii,Fernald's Sedge,1987,Threatened,not listed,S2S3,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex tenuiflora,Sparse-flowered Sedge,1923,Endangered,not listed,S1,G5,Historically Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex vaginata,Sheathed Sedge,not available,Endangered,not listed,S1,G5,Historically Confirmed
Essex,Plant,Flowering Plants,Orchids,Arethusa bulbosa,Dragon's Mouth Orchid,2015,Threatened,not listed,S2,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Rhynchospora fusca,Sooty Beak Sedge,not available,Rare,not listed,S3S4,G4G5,Historically Confirmed
Essex,Plant,Flowering Plants,Rushes,Juncus stygius var. americanus,Moor Rush,not available,Endangered,not listed,SH,G5T5,Historically Confirmed
Essex,Plant,Flowering Plants,Grasses,Poa laxa ssp. fernaldiana,Fernald's Blue Grass,2001,Endangered,not listed,S1,G5?T3,Recently Confirmed
Essex,Plant,Flowering Plants,Grasses,Calamagrostis pickeringii,Pickering's Reed Grass,not available,Rare,not listed,S3,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Pyrola minor,Snowline Wintergreen,2016,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Grasses,Graphephorum melicoides,Melic Oats,1990,Endangered,not listed,S1,G4,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Vaccinium boreale,Northern Lowbush Blueberry,2016,Threatened,not listed,S2,G4,Recently Confirmed
Essex,Plant,Flowering Plants,Grasses,Calamagrostis stricta ssp. inexpansa,New England Northern Reed Grass,2006,Threatened,not listed,S2,G5T5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Corydalis aurea ssp. aurea,Golden Corydalis,1995,Threatened,not listed,S2,G5T5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex haydenii,Cloud Sedge,1948,Endangered,not listed,S1S2,G5,Historically Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Borodinia missouriensis,Green Rock Cress,2004,Threatened,not listed,S2,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Rhododendron lapponicum,Lapland Rosebay,2013,Endangered,not listed,S2,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex cryptolepis,Small Yellow Sedge,not available,Rare,not listed,S3,G4,Recently Confirmed
Essex,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Solidago racemosa,Riverbank Goldenrod,1995,Endangered,not listed,S1,G5T3?,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Empetrum nigrum,Black Crowberry,2016,Rare,not listed,S2,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Saxifraga paniculata ssp. paniculata,White Mountain Saxifrage,2006,Endangered,not listed,S1,G5TNR,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Scutellaria parvula var. parvula,Small Skullcap,not available,Rare,not listed,S3,G4T4,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Andersonglossum boreale,Northern Wild Comfrey,1958,Endangered,not listed,S1S2,G5T4T5,Historically Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex bigelowii ssp. bigelowii,Bigelow's Sedge,2016,Threatened,not listed,S2,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Harrimanella hypnoides,Moss Heather,1845,not listed,not listed,SX,G5,Extirpated
Essex,Plant,Flowering Plants,Sedges,Carex houghtoniana,Houghton's Sedge,2002,Threatened,not listed,S2,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Orchids,Cypripedium reginae,Showy Lady's Slipper,not available,not listed,not listed,S3,G4G5,Historically Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Betula minor,Dwarf White Birch,2013,Endangered,not listed,S1,G4G5Q,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Eleocharis ovata,Ovate Spike Rush,not available,Endangered,not listed,S1S2,G5,Historically Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Podostemum ceratophyllum,Riverweed,2002,Threatened,not listed,S2S3,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Sedges,Carex livida,Livid Sedge,1987,Endangered,not listed,S1,G5,Recently Confirmed
Essex,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. makasin,Small Northern Yellow Lady's Slipper,not available,not listed,not listed,S4,G5T4T5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Geum macrophyllum var. macrophyllum,Bigleaf Yellow Avens,not available,Endangered,not listed,S1,G5T5,Recently Confirmed
Essex,Plant,Flowering Plants,Other Flowering Plants,Sparganium natans,Small Bur-reed,not available,Threatened,not listed,S2,G5,Recently Confirmed
Franklin,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Frogs and Toads,Lithobates sylvaticus,Wood Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Salamanders,Eurycea bislineata,Northern Two-lined Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,1990-1999,Special Concern,not listed,S4,G5,Recently Confirmed
Franklin,Animal,Amphibians,Salamanders,Desmognathus fuscus,Dusky Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Salamanders,Gyrinophilus porphyriticus,Spring Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum x laterale,Jefferson Salamander Complex,1990-1999,Game with no open season,not listed,SNA,GU,Recently Confirmed
Franklin,Animal,Amphibians,Frogs and Toads,Lithobates pipiens,Northern Leopard Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Salamanders,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Salamanders,Necturus maculosus,Mudpuppy,1990-1999,Game with no open season,not listed,S4,G5,Recently Confirmed
Franklin,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Salamanders,Hemidactylium scutatum,Four-toed Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Amphibians,Frogs and Toads,Lithobates septentrionalis,Mink Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Animal Assemblages,Animal Assemblages,Bat Colony,Bat Colony,1985,not applicable,not applicable,SNR,GNR,Recently Confirmed
Franklin,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Bombus) terricola,Yellowbanded Bumble Bee,2009,not listed,not listed,S1,G5,Recently Confirmed
Franklin,Animal,Beetles,Lady Beetles,Coccinella trifasciata,Three-banded Lady Beetle,not available,not listed,not listed,S2S3,GNR,Recently Confirmed
Franklin,Animal,Birds,Flycatchers,Myiarchus crinitus,Great Crested Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Flycatchers,Empidonax minimus,Least Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Flycatchers,Empidonax flaviventris,Yellow-bellied Flycatcher,2000-2005,Protected Bird,not listed,S3B,G5,Recently Confirmed
Franklin,Animal,Birds,Flycatchers,Empidonax alnorum,Alder Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Flycatchers,Contopus cooperi,Olive-sided Flycatcher,2000-2005,Protected Bird,not listed,S3B,G4,Recently Confirmed
Franklin,Animal,Birds,Finches and Crossbills,Spinus tristis,American Goldfinch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Finches and Crossbills,Spinus pinus,Pine Siskin,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Finches and Crossbills,Loxia leucoptera,White-winged Crossbill,2000-2005,Protected Bird,not listed,S2S3,G5,Recently Confirmed
Franklin,Animal,Birds,Finches and Crossbills,Loxia curvirostra,Red Crossbill,2000-2005,Protected Bird,not listed,S2S3,G5,Recently Confirmed
Franklin,Animal,Birds,Finches and Crossbills,Haemorhous purpureus,Purple Finch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Finches and Crossbills,Haemorhous mexicanus,House Finch,2000-2005,Protected Bird,not listed,SNA,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga magnolia,Magnolia Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,2016,Threatened,not listed,"S2S3B,S2N",G5,Recently Confirmed
Franklin,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron,2000-2005,Protected Bird,not listed,S3,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga fusca,Blackburnian Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,2013,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Franklin,Animal,Birds,"Rails, Coots and Cranes",Grus canadensis,Sandhill Crane,2016,Protected Bird,not listed,S1B,G5,Recently Confirmed
Franklin,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco peregrinus,Peregrine Falcon,2012,Endangered,not listed,S3B,G4,Recently Confirmed
Franklin,Animal,Birds,Wrens,Troglodytes hiemalis,Winter Wren,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Wrens,Troglodytes aedon,House Wren,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Wrens,Cistothorus platensis,Sedge Wren,2002,Threatened,not listed,S3B,G5,Recently Confirmed
Franklin,Animal,Birds,Wrens,Cistothorus palustris,Marsh Wren,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Vermivora cyanoptera x chrysoptera,Brewster's Warbler,2000-2005,Protected Bird,not listed,SNA,GNA,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Vermivora cyanoptera,Blue-winged Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Vermivora chrysoptera x cyanoptera,Lawrence's Warbler,2000-2005,Protected Bird,not listed,SNA,GNA,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Vermivora chrysoptera,Golden-winged Warbler,2000-2005,Special Concern,not listed,S3B,G4,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga tigrina,Cape May Warbler,2000-2005,Protected Bird,not listed,S2B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga striata,Blackpoll Warbler,2000-2005,Protected Bird,not listed,S3B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga pinus,Pine Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thrush,2000-2005,Protected Bird,not listed,S5B,G4,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga petechia,Yellow Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga pensylvanica,Chestnut-sided Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ardea herodias,Great Blue Heron,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga palmarum,Palm Warbler,2000-2005,Protected Bird,not listed,S2S3B,G5,Recently Confirmed
Franklin,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Botaurus lentiginosus,American Bittern,2000-2005,Special Concern,not listed,S4,G4,Recently Confirmed
Franklin,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Aix sponsa,Wood Duck,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Anas acuta,Northern Pintail,2000-2005,Protected Bird - Game with open season,not listed,"S1B,S3N",G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Anas clypeata,Northern Shoveler,2000-2005,Protected Bird - Game with open season,not listed,S2,G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Anas crecca,Green-winged Teal,2000-2005,Protected Bird - Game with open season,not listed,S3,G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Anas discors,Blue-winged Teal,2000-2005,Protected Bird - Game with open season,not listed,"S2S3B,SNRN",G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos,Mallard,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x Am. Black Duck Hybrid,2000-2005,Protected Bird - Game with open season,not listed,SNA,GNA,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck,2000-2005,Protected Bird - Game with open season,not listed,"S3B,SNRN",G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Anas strepera,Gadwall,2000-2005,Protected Bird - Game with open season,not listed,S3,G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Aythya collaris,Ring-necked Duck,2000-2005,Protected Bird - Game with open season,not listed,S3,G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Goose,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Bucephala clangula,Common Goldeneye,2000-2005,Protected Bird - Game with open season,not listed,"S3,SNRN",G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Lophodytes cucullatus,Hooded Merganser,2000-2005,Protected Bird - Game with open season,not listed,S4,G5,Recently Confirmed
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Mergus merganser,Common Merganser,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga coronata,Yellow-rumped Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga castanea,Bay-breasted Warbler,2001,Protected Bird,not listed,S2B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga caerulescens,Black-throated Blue Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Setophaga americana,Northern Parula,2000-2005,Protected Bird,not listed,S3S4B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Seiurus aurocapilla,Ovenbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Parkesia noveboracensis,Northern Waterthrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Oreothlypis ruficapilla,Nashville Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Oreothlypis peregrina,Tennessee Warbler,2000-2005,Protected Bird,not listed,S2B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Mniotilta varia,Black-and-white Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Geothlypis philadelphia,Mourning Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Cardellina pusilla,Wilson's Warbler,2000-2005,Protected Bird,not listed,SNA,G5,Recently Confirmed
Franklin,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Woodpeckers,Sphyrapicus varius,Yellow-bellied Sapsucker,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Woodpeckers,Picoides villosus,Hairy Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Woodpeckers,Picoides pubescens,Downy Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Woodpeckers,Picoides dorsalis,American Three-toed Woodpecker,2000,Protected Bird,not listed,S2,G5,Recently Confirmed
Franklin,Animal,Birds,Woodpeckers,Picoides arcticus,Black-backed Woodpecker,2000-2005,Protected Bird,not listed,S3?,G5,Recently Confirmed
Franklin,Animal,Birds,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woodpecker,2000-2005,Special Concern,not listed,S2?B,G5,Recently Confirmed
Franklin,Animal,Birds,Woodpeckers,Dryocopus pileatus,Pileated Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Franklin,Animal,Birds,Waxwings,Bombycilla cedrorum,Cedar Waxwing,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Vireos,Vireo solitarius,Blue-headed Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Vireos,Vireo philadelphicus,Philadelphia Vireo,2000-2005,Protected Bird,not listed,S3B,G5,Recently Confirmed
Franklin,Animal,Birds,Vireos,Vireo olivaceus,Red-eyed Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Vireos,Vireo gilvus,Warbling Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Vireos,Vireo flavifrons,Yellow-throated Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Thrushes and Bluebirds,Turdus migratorius,American Robin,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Thrushes and Bluebirds,Sialia sialis,Eastern Bluebird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Thrushes and Bluebirds,Catharus ustulatus,Swainson's Thrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Thrushes and Bluebirds,Catharus guttatus,Hermit Thrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Thrushes and Bluebirds,Catharus fuscescens,Veery,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Thrushes and Bluebirds,Catharus bicknelli,Bicknell's Thrush,2004,Special Concern,not listed,S2S3B,G4,Recently Confirmed
Franklin,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Swallows,Riparia riparia,Bank Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Swallows,Petrochelidon pyrrhonota,Cliff Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Franklin,Animal,Birds,Starlings,Sturnus vulgaris,European Starling,2000-2005,not listed,not listed,SNA,G5,Recently Confirmed
Franklin,Animal,Birds,Sparrows and Towhees,Zonotrichia albicollis,White-throated Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
